startup_name,article_summary,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
House of Momos GmbH Kanbii Solutions AG Studyflash GmbH,2024 Auch in der dritten Folge der aktuellen Staffel gab es für drei Startups einen Deal.,2024-09-25,2024,4.2M CHF,Seed,Seed,,Zurich,ZH,2023.0,,,Switzerland,FinTech,,B2B-Services,FinTech,
,2024 Several millions have flown into Biotech companies to accelerate their development.,2024-09-24,2024,12M USD,Series A,Series A,,,,,,,Switzerland,B2C Tech,Beauty & Cosmetics,Unknown,IoT,"BioTech, FinTech, Logistics"
,2024 Der Medizintechnik-Zulieferer Viromed Medical übernimmt das Luzerner Medtech-Startup ActivCell.,2024-09-23,2024,,Kapitalerhöhung,Undisclosed,,Lucerne,LU,,5.0,,Switzerland,MedTech,Medical Devices,B2B-Hardware,IoT,"BioTech, HealthTech, EdTech"
WattAnyWhere SA,"2024 WattAnyWhere has secured a new €400,000 loan from Banque Publique d’Investissement (BPI) under the Prêt Innovation R&D (PIRD) program.",2024-09-23,2024,,,Award,,,,,,,Switzerland,CleanTech,,B2C,ClimateTech,"BioTech, ClimateTech"
Cybera Global AG,2024 Reporting fraudulent bank accounts to banks is an efficient approach in the fight against cybercrime.,2024-09-20,2024,,,Undisclosed,,,,,,,Switzerland,FinTech,"Payments, Crypto & Blockchain",Unknown,"Blockchain, FinTech",
Swiss Airtainer SA,"2024 Shortly after receiving grants from Swiss Federal Office of Civil Aviation and the Swiss State Secretariat for Education, Research and Innovation, Swiss Airtainer has completed a pre-series A round.",2024-09-20,2024,,series A,Series A,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,"Manufacturing, EdTech"
Novostia SA,"2024 Novostia, which specializes in the development of a disruptive heart valve prosthesis, has completed a CHF 5.",2024-09-19,2024,5.6M CHF,Series B,Series B,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"BioTech, HealthTech","HealthTech, EdTech"
Perovskia Solar AG,"2024 Perovskia Solar AG, a spin-off from the Swiss Federal Laboratories for Materials Science and Technology (Empa), has secured 10+ Internet-of-Things (IoT) industry leaders as clients and $2.",2024-09-19,2024,,seed,Seed,,,,,,,Switzerland,CleanTech,Solar,B2B-Hardware,IoT,"BioTech, ClimateTech, Manufacturing"
Immunos Therapeutics AG,"2024 ImmunOs Therapeutics AG, a biopharmaceutical company developing first-in-class therapeutics for the treatment of cancer and autoimmune diseases based on its unique immune system modulating technology platform, closed a Series C financing round.",2024-09-18,2024,11M USD,Series C,Series C,,,,2025.0,,,Switzerland,BioTech,"Drug Discovery, Oncology",Deep Tech / IP,BioTech,
Loopi AG,"2024 In der zweiten Folge der aktuellen Staffel gab es für Kinderwagen-Vermieter loopi, ein Gewürz-Unternehmen und einen Pellet-Heizstrahler je einen Deal.",2024-09-18,2024,0.20M CHF,,Undisclosed,,,,,,,Switzerland,FoodTech,,Unknown,,
Almer Technologies AG,2024 The closing of its latest investment round brings Almer Technologies into a new phase.,2024-09-18,2024,3M USD,,Award,Vi Partners,Bern,BE,,35.0,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,Logistics,Manufacturing
Gliapharm InSphero AG,"2024 GliaPharm, an EPFL spinoff biotech company, has received a BRAINS grant to support a four-year study on glial cell behavior in various neurological disorders.",2024-09-17,2024,,,Award,Breakthrough T1D under its Industry Discovery & Development Partnerships,,,,,,Switzerland,BioTech,,B2B-Hardware,"IoT, BioTech",
Neo Medical SA,2024 Neo Medical combines the latest advances in biomechanics and intraoperative augmented reality to set new standards in spine fusion surgery.,2024-09-17,2024,68M USD,Series B,Series B,,Lausanne,VD,2016.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,"BioTech, HealthTech"
,2024 Das Berner Startup enersis wird zu 100 Prozent von EnBW übernommen.,2024-09-16,2024,,,,,Bern,BE,,,,Switzerland,Other,,Unknown,,
Fabas Foods AG,"2024 Das Züricher Startup Fabas hat in einer Seed-Finanzierungsrunde 1,3 Millionen Franken an frischem Kapital eingesammelt.",2024-09-13,2024,1.3M CHF,Seed,Seed,,,,2024.0,,,Switzerland,B2C Tech,E-commerce,B2C,,"BioTech, FoodTech"
Distalmotion SA,"2024 Dexter, Distalmotion’s surgical robot has already completed over 1000 surgeries in Europe.",2024-09-13,2024,150M USD,,Award,Revival Healthcare with participation from the Swiss Entrepreneurs Fund,,,2022.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,Robotics,"BioTech, HealthTech"
NeoPrediX,"2024 NeoPrediX, a predictive analytics company focused on neonatal, maternal, and perinatal health, secured an investment from Springhood Ventures.",2024-09-13,2024,,,Undisclosed,Springhood Ventures,,,2020.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,Data Analytics,HealthTech
BioTara AG,"2024 BioTara AG, a specialist in sourcing and producing premium wild oils from rainforest communities for use in the cosmeceutical industry, has entered a strategic partnership with Ecosia, the search engine that plants and protects trees.",2024-09-13,2024,,,Grant,,,,2023.0,,,Switzerland,CleanTech,"Solar, Carbon & Offsetting",Deep Tech / IP,IoT,"BioTech, ClimateTech, Manufacturing"
CorFlow Therapeutics AG,2024 Medtech startup CorFlow Therapeutics AG has completed a €44 million in Series B funding round backed by a top-tier global syndicate of medical technology investors.,2024-09-12,2024,44M USD,Series B,Series B,"Broadview Ventures, Panakes Partners",,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,"HealthTech, EdTech"
Open Forest AG,"2024 Zug-based startup Open Forest Protocol provides a platform enabling the creation of fully digital, high-integrity and verifiable carbon credits.",2024-09-12,2024,,seed round,Seed,,Zug,ZG,2021.0,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,Blockchain,"BioTech, FinTech, ClimateTech"
Bioversys AG,2024 Guangzhou Sino-Israel Bio-Industry Investment Fund 2 LLP has made a strategic investment of US$ 6m (CHF 5.,2024-09-11,2024,6M USD,strategic investment,Strategic Investment,,,,2005.0,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,BioTech,
Aerospec SA Elythor SA,2024 Aerospec and Elythor have both received support from the Foundation for Technological Innovation.,2024-09-11,2024,0.10M CHF,Seed,Seed,,,,,,,Switzerland,FinTech,,B2B-Hardware,FinTech,"BioTech, EdTech"
ALLSUPPS GmbH Flappie Technologies GmbH,"2024 Zwei Schwyzer Startups überzeugen die Löwen in der ersten Folge: Sowohl für das Nahrungsergänzungs-Fruchtgummi-Startup ALLSUPPS, als auch für Flappie und seine smarten Katzenklappen gab es einen Deal in der Investoren-Sendung auf dem Sender 3+.",2024-09-11,2024,0.08M CHF,,,,,,2021.0,,,Switzerland,FinTech,,B2C,FinTech,
AI-powered automation start-up Cerrion,"2024 Cerrion, a leading developer of video AI for industrial automation, completed a $5 million funding round led by Y Combinator and Justin Kan’s Goat Capital, with additional participation from session.",2024-09-10,2024,5M USD,Series A,Series A,,,,2022.0,,,Switzerland,FinTech,,Unknown,AI,Manufacturing
Squirro AG,"2024 Squirro, a Swiss-headquartered global SaaS platform for enterprise-ready generative AI, search and business insights, today announced its strategic investment in meetsynthia.",2024-09-10,2024,,strategic investment,Strategic Investment,,,,,,,Switzerland,AI/ML,"Business Intelligence, Foundation Models",B2B-SaaS,"AI, GenAI, SaaS",BioTech
YLAH AG,2024 Mit der offiziellen Registrierung bei Swissmedic kann YLAH ihre Software nun als Medizinprodukt vertreiben.,2024-09-09,2024,,Kapitalerhöhung,Undisclosed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,BioTech,HealthTech
Sulzer Schmid Laboratories AG,"2024 After nine years of existence, Sulzer Schmid, a blade inspection and condition monitoring company, has exited to RES, the world’s leading independent renewable energy company and services provider.",2024-09-06,2024,,Series B,Series B,,,,2016.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-SaaS,"SaaS, Data Analytics","ClimateTech, Manufacturing"
,"2024 Early this year, Kickfund Ventures Fund became operational, with more than CHF 70 million Assets Under Management, dedicated to promoting the growth and development of Swiss deeptech startups that won the Venture Kick competition.",2024-09-06,2024,70M CHF,pre-seed,Pre-Seed,,,,,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2B-Hardware,DeepTech,
Flow Swiss AG,"2024 Die Sonio Gruppe, ein IT-Dienstleister mit Fokus auf Cloud- und Datenlösungen, akquiriert Flow Swiss und baut damit sein Serviceportfolio weiter aus.",2024-09-05,2024,,,,,,,2009.0,,,Switzerland,Other,,Unknown,,
SensorX Solutions GmbH,"2024 SensorX Solutions GmbH, a pioneering technology firm based in Obwalden, has secured six-figure financial backing under the National Research Programme (NRP), federal government’s research funding tool to support research projects.",2024-09-04,2024,,pre-seed,Pre-Seed,,,,2023.0,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,IoT,"ClimateTech, Manufacturing"
ONWARD Medical SA,2024 The Christopher & Dana Reeve Foundation has awarded a $1.,2024-09-04,2024,1.1M USD,,Award,,,,,,,Switzerland,BioTech,,B2B-Hardware,BioTech,"HealthTech, EdTech"
,"2024 Following several development and licensing collaborations, Boehringer Ingelheim has acquired Saiba Animal Health to strengthen its animal health R&D pipeline, specifically in the fast-growing pet therapeutics category.",2024-09-04,2024,,,,,,,2013.0,,,Switzerland,BioTech,Antibody Therapeutics,Deep Tech / IP,"BioTech, HealthTech",HealthTech
,"2024 Using a decentralized physical infrastructure powered by blockchain technology, onocoy enables mass adoption of high precision positioning.",2024-09-03,2024,,,Grant,,,,,,,Switzerland,FinTech,"WealthTech, Crypto & Blockchain",B2B-Hardware,"IoT, Blockchain, FinTech",
Yapeal AG,"2024 Das Fintech Yapeal hat eine Finanzierungsrunde abgeschlossen, mit dem Ziel, die strategische Neuausrichtung und die Wachstumsphase mit voller Kraft vorantreiben.",2024-09-03,2024,,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,
,"2024 Effixis, a consulting firm specializing in Generative Artificial Intelligence, has joined the Artefact group, a global leader in AI and Data consulting.",2024-09-03,2024,,,,,,,2017.0,24.0,,Switzerland,B2C Tech,Beauty & Cosmetics,B2C,"AI, GenAI","BioTech, EdTech"
OxyPrem AG,"2024 OxyPrem, the Zurich-based manufacturer of brain oxygen sensors for preterm-born children, has launched a funding campaign in collaboration with lifescience-specialized crowdinvesting platform Capital Cell.",2024-08-30,2024,1.5M EUR,,Award,,Zurich,ZH,2020.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,IoT,"BioTech, HealthTech"
Exogems SA,"2024 Exogems SA, a pioneering Swiss biotech startup developing innovative therapeutic exosomes derived from microfragmented adipose tissue, completed a CHF 500K fundraising round from business angels.",2024-08-29,2024,,seed,Seed,,,,,,,Switzerland,BioTech,Oncology,Deep Tech / IP,"IoT, BioTech","HealthTech, Manufacturing"
RIVR Technologies AG,The capital increase strengthens the startup’s financial position to further advance its solution.,2024-08-29,2024,22M USD,seed,Seed,,,,2005.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,"AI, Robotics, Logistics","BioTech, EdTech, PropTech"
,"2024 In der sechsten Staffel der Höhle der Löwen treten 42 Startups an, um einen Deal mit den neun Löwen zu ergattern.",2024-08-27,2024,,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
,"2024 Leading European VC redalpine has raised $200M for its seventh Fund, redalpine Capital VII (RAC VII), marking its largest round.",2024-08-27,2024,200M USD,,Undisclosed,,,,2006.0,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech","FinTech, FoodTech"
Atreon SA,2024 ATREON est la première startup a bénéficier du nouveau programme InnoDIGITAL du PACTT d’une valeur de CHF 40'000 pour le développement d’un outil novateur de suivi et de gestion des patients atteints d’arthrite inflammatoire.,2024-08-26,2024,0.04M CHF,,Award,,,,2025.0,,,Switzerland,FinTech,,Unknown,FinTech,HealthTech
,"2024 Direttissima Growth Partners, a new equity firm focussed on scaleups at the intersection of digitalization and sustainability, announces the successful initial closing of its debut growth fund with a target volume of €120M.",2024-08-23,2024,,,Undisclosed,,,,2016.0,,,Switzerland,CleanTech,,B2C,IoT,"ClimateTech, Manufacturing"
MB&F SA,2024 Luxury brand Chanel has taken a 25% stake in the independent high-end watchmaking brand MB&F.,2024-08-23,2024,0M CHF,strategic investment,Strategic Investment,,,,2023.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,Manufacturing
Newly unveiled blockchain,"2024 Circular, a 4th Generation layer-one blockchain designed to address the typical limitation of the previous generations of these blockchains, has gone live after two years of development.",2024-08-23,2024,15M USD,pre-seed round,Pre-Seed,,Lugano,TI,,,,Switzerland,BioTech,,Deep Tech / IP,"Blockchain, BioTech",Cybersecurity
Astrocast SA,"2024 Astrocast, a leading global nanosatellite IoT network operator, delisted from Euronext Growth.",2024-08-22,2024,,,Award,,,,2022.0,,,Switzerland,FinTech,,Deep Tech / IP,IoT,
FLOWIT AG,"2024 Die Softwarelösung von FLOWIT ermöglicht es HR-Abteilungen auch Teammitgliedern, die nicht am Computer arbeiten, in die Personalentwicklung einzubeziehen.",2024-08-22,2024,4M CHF,Seed,Seed,,,,,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2B-SaaS,SaaS,
Vandria SA,"2024 Swiss biotech Vandria SA, a company developing small molecule drugs to treat age-related and chronic diseases, announced the second closing of its Series A financing bringing the final amount raised to date to $30.",2024-08-21,2024,,Series A,Series A,"ND Capital, a small syndicate of private investors, Vandria has made rapid progress",,,2025.0,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech",HealthTech
Net Zero PropTech Optiml,2024 ETH Zurich spin-off Optiml AG supports the decarbonization of real estate with a scalable AI-powered software solution.,2024-08-21,2024,,Pre-Seed Extension,Pre-Seed,BitStone Capital,,,,,,Switzerland,AI/ML,Business Intelligence,Unknown,AI,"ClimateTech, PropTech"
,2024 Rund 20 Unternehmen aus der Schweiz und Deutschland nutzen die Plattform von aighty-twenty für die KI-Integration im Bereich Marketing und Wissensmanagement.,2024-08-21,2024,,Pre-Seed,Pre-Seed,,,,2024.0,,,Switzerland,Enterprise SaaS,"Marketing Tech, HR Tech",B2B-SaaS,"GenAI, SaaS",BioTech
,"2024 Basel-based digital health pioneer Genedata has been acquired by Danaher Corporation, a leading global life sciences and diagnostics innovator with total revenues of USD24 billion in 2024.",2024-08-20,2024,,,,,Basel,BS,1997.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,"IoT, Logistics","BioTech, HealthTech, Manufacturing"
SunRegen Healthcare AG,SunRegen focusses on the development of neurodegenerative related drugs.,2024-08-20,2024,6.3M USD,,,,Basel,BS,,,,Switzerland,BioTech,Drug Discovery,Marketplace,BioTech,
Crowdtransfer AG,"2024 Das Zuger Startup CrowdTransfer lanciert eine Plattform für Crowdfundings, über die Sportclubs bei ihren Fans finanzielle Unterstützung als Gegenleistung für Prämien oder andere Belohnungen generieren können.",2024-08-19,2024,3M CHF,Pre-Seed,Pre-Seed,,Zug,ZG,2023.0,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Apheros AG,2024 Zurich-based startup Apheros is developing cooling solutions for data centers and the high-power computing industry.,2024-08-19,2024,1.9M USD,pre-seed,Pre-Seed,,Zurich,ZH,2023.0,,,Switzerland,FinTech,,B2B-Hardware,AI,"Manufacturing, EdTech"
,2024 Das Startup Sanos mit Hauptsitz in Zürich hat seine Patientenansprache-Plattform «Roger» zuerst in Deutschland gelauncht und dort bereits eine starke Präsenz erreicht.,2024-08-16,2024,7M EUR,,Undisclosed,,,,,,,Switzerland,Other,,Unknown,,HealthTech
OnChainLabs,This investment sets the stage for future growth and innovation.,2024-08-16,2024,5M CHF,Seed Round,Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-SaaS,"SaaS, Blockchain",
Wingtra AG,2024 Wingtra manufactures professional mapping drones and develops the flight software for fully autonomous operation.,2024-08-16,2024,,Series B,Series B,,,,,,,Switzerland,Robotics,Drones,B2B-Hardware,Robotics,
,"2024 According to the new SICTIC Investment Report, SICTIC's angel investors have remained active at a high level.",2024-08-16,2024,,,Undisclosed,,,,2021.0,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,BioTech
BackBone,"2024 Aiming for European leadership with its latest acquisition of Imogent, BackBone recently secured a growth credit from UBS to enable further growth.",2024-08-15,2024,,,,,,,2025.0,,,Switzerland,FinTech,Lending,B2B-SaaS,"SaaS, FinTech","BioTech, Manufacturing, PropTech"
KNIME AG,"2024 KNIME, one of the leading open-source data science and AI companies, has raised an additional $30M in funding from its longstanding investor Invus, bringing its total funding to $50M.",2024-08-15,2024,,,Undisclosed,Invus,,,,250.0,,Switzerland,AI/ML,Business Intelligence,B2B-SaaS,Data Analytics,BioTech
,2024 Zug-based flovtec is a Swiss-based digital assets market maker known for its advanced algorithmic trading strategies and liquidity solutions.,2024-08-15,2024,,,,,Zug,ZG,,,,Switzerland,B2C Tech,Marketplace,Marketplace,,
Creaitor AG,"2024 Creaitor AG, which specializes in the field of AI-powered content creation and optimization, has announced the closing of a CHF 500k (USD 575k) pre-seed funding round led by Backbone Ventures.",2024-08-14,2024,,pre-seed,Pre-Seed,Backbone Ventures,,,2022.0,,,Switzerland,FinTech,,Unknown,AI,BioTech
MiniNaviDent AG,"2024 Der Basler Dentaltechnik-Konzern Straumann hat die Mininavident AG, Entwickler und Hersteller des weltweit kleinsten dynamischen Navigationssystems für die Zahnimplantation, praktisch vollständig übernommen.",2024-08-14,2024,,,,,Basel,BS,,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,EdTech
Nunu.ai,Nunu.ai secured funding for its business.,2024-08-14,2024,2M USD,pre-seed,Pre-Seed,,,,,,,Switzerland,Other,,Unknown,,BioTech
Swiss-British,"2024 GraphEnergyTech, a Lausanne-based startup with offices in Cambridge (UK) developing a patented process to integrate graphene electrodes into solar cells, has raised CHF 1.",2024-08-12,2024,1.1M CHF,,Award,Aramco Ventures,Lausanne,VD,,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
Nau media AG Travelnews AG,"2024 Die Nau media AG wird Mehrheitsaktionär bei der Travelnews AG, dem 2015 gegründeten Schweizer Online-Portal für Reisen und Tourismus.",2024-08-12,2024,,,Award,,,,2015.0,,,Switzerland,Other,,Unknown,,BioTech
Scientific Visual SA,"2024 Scientific Visual, a Swiss provider of solutions for the quality control of industrial crystals, has entered a strategic partnership with PVA TePla.",2024-08-09,2024,,,Award,,,,2025.0,,,Switzerland,Other,,B2C,,Manufacturing
Soeder,"2024 Georges Kern, CEO der Uhrenmarke Breitling, steigt beim jungen Seifenhersteller Soeder als Investor und Verwaltungsrat ein.",2024-08-09,2024,,,Undisclosed,,,,,,,Switzerland,B2C Tech,Beauty & Cosmetics,Unknown,,BioTech
Etops Group SA,2024 Zug-based company Etops Group AG is a leading provider of SaaS solutions serving about 100 clients across wealth and asset management sectors through its «etopsOS» platform.,2024-08-09,2024,,,Undisclosed,Pollen Street Capital,Zug,ZG,2010.0,140.0,,Switzerland,FinTech,"WealthTech, InsurTech",B2B-SaaS,"SaaS, FinTech",
Acronis AG,"2024 The EQT X fund will acquire a majority stake in Acronis, a leading cybersecurity and data protection platform, registered in Switzerland.",2024-08-08,2024,,,Undisclosed,,,,2003.0,700.0,,Switzerland,FinTech,,B2B-Services,FinTech,Cybersecurity
Calingo Insurance AG,"2024 Calingo Insurance, a Zurich-based pet insurance provider has closed its Pre-Series A funding round, securing CHF 3.",2024-08-08,2024,3.2M CHF,Series A,Series A,,Zurich,ZH,,,,Switzerland,FinTech,InsurTech,B2B-Services,FinTech,
,2024 Das Schweizer Insurtech Helvengo hat seine deutsche Tochtergesellschaft an einen langjährigen Partner verkauft.,2024-08-07,2024,4M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,InsurTech,Unknown,IoT,BioTech
Release Therapeutics SA,"2024 Following the publication of its first preclinical results in metachromatic leukodystrophy, a rare genetic disorder typically affecting young children, Release Therapeutics has raised CHF 3.",2024-08-07,2024,3.3M CHF,seed,Seed,,,,2023.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,Logistics,BioTech
European Consortium with Oryl Photonics,"2024 EPFL Spinoff Oryl Photonics is part of the Fast and Accurate Solubility for Sustainability project, aiming to bring to the market a novel laboratory instrument for the measurement of the solubility of drug molecules.",2024-08-06,2024,,Series A,Series A,,,,,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,"DeepTech, IoT, BioTech",ClimateTech
DemoSquare SA,"2024 Founded as an EPFL Spinoff, DemoSquare offers an AI-based platform for monitoring and analysing political and regulatory activities.",2024-08-06,2024,1.2M CHF,pre-seed round,Pre-Seed,"Swiss, German investors to fuel its European expansion",,,,,,Switzerland,FinTech,,B2B-SaaS,"AI, SaaS",EdTech
Verkauf der assona GmbH,2024 Das Insurtech wefox hat die assona GmbH an die Ecclesia Gruppe verkauft.,2024-08-05,2024,151M EUR,,Award,,,,,,,Switzerland,FinTech,InsurTech,Unknown,FinTech,
Relief Therapeutics,The funding will also be used for working capital and general corporate purposes.,2024-08-05,2024,11M USD,,Award,,,,,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,"IoT, BioTech",
LimmaTech Biologics AG,LimmaTech Biologics is a clinical-stage startup developing vaccines for the prevention of life-threatening diseases such as Shigellosis which is caused by Shigella bacteria.,2024-08-02,2024,6.5M USD,,Undisclosed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"BioTech, HealthTech","FinTech, Manufacturing"
,"2024 During the past spring semester, student partners for the student-led VC Founderful Campus selected seven promising selected for investment.",2024-08-02,2024,0.03M CHF,,Award,,,,2023.0,,,Switzerland,FinTech,Lending,B2B-Hardware,Robotics,"ClimateTech, EdTech, FoodTech"
Metafuels AG,4 million from the Swiss Federal Office of Energy 31.,2024-07-31,2024,4.4M CHF,,Grant,,,,,,,Switzerland,CleanTech,"Carbon & Offsetting, Hydrogen",Deep Tech / IP,ClimateTech,"ClimateTech, Manufacturing"
,Zudem sicherten sich die Zürcher in einer laufenden Finanzierungsrunde bereits ein Investment eines amerikanischen VC.,2024-07-29,2024,,,Undisclosed,,Zurich,ZH,,,,Switzerland,FinTech,,B2B-Hardware,AI,"BioTech, Logistics, EdTech"
Startup matriq,Galler Startup matriq hat in einem Second Closing seiner letzten Finanzierungsrunde nochmals eine Million Franken eingesammelt.,2024-07-26,2024,,Seed Extension,Seed,,St. Gallen,SG,,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,EdTech
H55 AG,"2024 H55, a pioneer in electric aviation technologies, has secured an additional CHF 20 million, closing its Series C funding round, including an investment from the Government of Québec.",2024-07-25,2024,65M CHF,series C,Series C,,,,2025.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,
Lakera AI AG,"2024 A few months following the seed round, Lakera has obtained a further $20 million in a series A financing round led by Atomico with participation from Citi Ventures, Dropbox Ventures and existing backers.",2024-07-25,2024,20M USD,seed round,Seed,"Atomico with participation from Citi Ventures, Dropbox Ventures, Citi Ventures",,,2021.0,,,Switzerland,FinTech,,B2B-SaaS,GenAI,"BioTech, Manufacturing, EdTech"
NematX AG,2024 ETH Zurich spin-off and industrial 3D printing company NEMATX AG has joined forces with POLYPLASTICS Co.,2024-07-24,2024,1.3M CHF,strategic investment,Strategic Investment,Japanese partner 24,,,2020.0,,,Switzerland,FinTech,,Deep Tech / IP,FinTech,"BioTech, Manufacturing"
Malaica AG,"2024 Through its pregnancy care programs, Malaica offers expectant mothers a range of services to ensure a smooth and enjoyable experience throughout the maternity journey.",2024-07-24,2024,1M CHF,pre-seed,Pre-Seed,,,,2020.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,,
NetFabric AG,2 million pre-seed round to advance network monitoring 23.,2024-07-23,2024,2.2M USD,pre-seed round,Pre-Seed,,,,2021.0,,,Switzerland,Other,,B2B-Services,GenAI,
Agora Care SA,2024 Geneva-based Agora Care announces the closing of a financing round of CHF 2.,2024-07-22,2024,2.2M CHF,,Award,,Geneva,GE,,,,Switzerland,FinTech,,Unknown,FinTech,"BioTech, HealthTech"
Sonnwende GmbH,2024 Das Startup Sonnwende realisiert Photovoltaik- und E-Mobilitätslösungen für Privat- und Unternehmenskunden.,2024-07-22,2024,,,Undisclosed,,Basel,BS,,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
,"2024 Over the past 18 months, wefox has undertaken a rigorous process to streamline its operations in order to focus on markets where it has profitable operations.",2024-07-18,2024,25M EUR,,Award,,,,2015.0,,,Switzerland,FinTech,InsurTech,B2B-SaaS,FinTech,
SamanTree Medical SA,"2024 The Histolog Scanner by SamanTree Medical is a CE-marked device for high-resolution imaging of the surface of fresh tissue, aiming to improve surgery outcomes.",2024-07-17,2024,20M EUR,Series B,Series B,,,,2024.0,,,Switzerland,BioTech,Oncology,B2B-Hardware,"BioTech, HealthTech","HealthTech, FinTech"
AnaPico AG,"2024 AnaPico is a Zurich-based technology company specializing in the development, manufacturing, and supply of Radio Frequency and Microwave test and measurement instruments for a wide range of civilian and governmental applications.",2024-07-17,2024,,,,,Zurich,ZH,2005.0,,,Switzerland,Other,,B2B-Hardware,DeepTech,"BioTech, HealthTech, Manufacturing"
Vanarix SA,"2024 Following successful first clinical trials, Biopôle-based Vanarix has raised CHF 4 million from new private investors.",2024-07-17,2024,4M CHF,,Undisclosed,,,,2018.0,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech","HealthTech, FinTech, Manufacturing"
BottlePlus AG,"2024 Im Frühling hat das Aarauer Startup bottleplus bei privaten Investoren frisches Kapital aufgenommen, um genügend Mittel für die nächsten Schritte rund um den Markteintritt zu haben.",2024-07-16,2024,,,,,,,,,,Switzerland,Robotics,Industrial Robotics,B2B-Hardware,Robotics,Manufacturing
,2024 Das 2010 gegründete Schweizer WealthTech-Unternehmen Etops Group übernimmt das Zürcher Startup Selli.,2024-07-16,2024,,,Undisclosed,,Zurich,ZH,2010.0,140.0,,Switzerland,Enterprise SaaS,HR Tech,B2B-SaaS,SaaS,FinTech
Asceneuron SA,"2024 Led by Novo Holdings, the latest investment in Asceneuron will be used to progress lead asset ASN51, an oral small molecule OGA inhibitor, into Phase 2 clinical development for the treatment of Alzheimer's disease.",2024-07-16,2024,100M USD,series C,Series C,EQT Life Sciences,Lausanne,VD,,,,Switzerland,BioTech,Antibody Therapeutics,Deep Tech / IP,"IoT, BioTech",
,1 billion for Swiss start-ups: investments on consolidation course 16.,2024-07-16,2024,0M CHF,,Undisclosed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,IoT,"BioTech, FinTech"
,1 Milliarden für Schweizer Startups: Investments auf Konsolidierungskurs 16.,2024-07-16,2024,400M CHF,,Undisclosed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech",
,"2024 Au premier semestre 2024, les financements de capital-risque suisses sont restés au faible niveau de l'année précédente.",2024-07-16,2024,0.01M CHF,,Undisclosed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech","FinTech, Manufacturing"
Revizto SA,"2024 Revizto, a cloud-based collaboration software platform designed for the Architecture, Engineering, Construction and Operation (AECO) industry, has secured an investment from global growth equity investor Summit Partners.",2024-07-15,2024,,,Award,,,,2012.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,Logistics,PropTech
CSky SA,,2024-07-15,2024,1M CHF,Seed,Seed,,,,2025.0,,,Switzerland,Cybersecurity,,B2B-Hardware,Cybersecurity,BioTech
DillySocks AG inyova AG,"2024 Inyova hat knapp 1,2 Millionen Franken eingesammelt.",2024-07-15,2024,1.2M CHF,,Undisclosed,,Zurich,ZH,2017.0,,,Switzerland,FinTech,,Unknown,"GenAI, FinTech",BioTech
